talla;la;ma;sa;lo;mo;so
45.0;-0.3833;2.4607;0.09029;-0.3521;2.4410;0.09182
45.1;-0.3833;2.4777;0.09030;-0.3521;2.4577;0.09176
45.2;-0.3833;2.4947;0.09030;-0.3521;2.4744;0.09170
45.3;-0.3833;2.5117;0.09031;-0.3521;2.4911;0.09164
45.4;-0.3833;2.5287;0.09032;-0.3521;2.5078;0.09159
45.5;-0.3833;2.5457;0.09033;-0.3521;2.5244;0.09153
45.6;-0.3833;2.5627;0.09033;-0.3521;2.5411;0.09147
45.7;-0.3833;2.5797;0.09034;-0.3521;2.5578;0.09141
45.8;-0.3833;2.5967;0.09035;-0.3521;2.5744;0.09135
45.9;-0.3833;2.6137;0.09036;-0.3521;2.5911;0.09129
46.0;-0.3833;2.6306;0.09037;-0.3521;2.6077;0.09124
46.1;-0.3833;2.6476;0.09037;-0.3521;2.6244;0.09118
46.2;-0.3833;2.6646;0.09038;-0.3521;2.6411;0.09112
46.3;-0.3833;2.6816;0.09039;-0.3521;2.6578;0.09106
46.4;-0.3833;2.6986;0.09040;-0.3521;2.6745;0.09100
46.5;-0.3833;2.7155;0.09040;-0.3521;2.6913;0.09094
46.6;-0.3833;2.7326;0.09041;-0.3521;2.7081;0.09088
46.7;-0.3833;2.7496;0.09042;-0.3521;2.7249;0.09083
46.8;-0.3833;2.7666;0.09043;-0.3521;2.7417;0.09077
46.9;-0.3833;2.7837;0.09044;-0.3521;2.7586;0.09071
47.0;-0.3833;2.8007;0.09044;-0.3521;2.7755;0.09065
47.1;-0.3833;2.8179;0.09045;-0.3521;2.7925;0.09059
47.2;-0.3833;2.8350;0.09046;-0.3521;2.8095;0.09053
47.3;-0.3833;2.8522;0.09047;-0.3521;2.8266;0.09047
47.4;-0.3833;2.8694;0.09047;-0.3521;2.8437;0.09042
47.5;-0.3833;2.8867;0.09048;-0.3521;2.8609;0.09036
47.6;-0.3833;2.9041;0.09049;-0.3521;2.8782;0.09030
47.7;-0.3833;2.9215;0.09050;-0.3521;2.8955;0.09024
47.8;-0.3833;2.9390;0.09050;-0.3521;2.9129;0.09018
47.9;-0.3833;2.9565;0.09051;-0.3521;2.9304;0.09012
